bibkey,url,bib_title,bib_doi,match_title,match_doi,title_match_ratio,same_doi,search_string
balk20,https://repository.ubn.ru.nl/handle/2066/221654,Histological subtypes in triple negative breast cancer are associated with specific information on survival,https://doi.org/10.1016/j.anndiagpath.2020.151490,Histological subtypes in triple negative breast cancer are associated with specific information on survival,https://doi.org/10.1016/j.anndiagpath.2020.151490,1.0,True,Histological subtypes in triple negative breast cancer are associated with specific information on survival Balkenhol Vreuls Wauters Mol Laak Bult
balk21,https://repository.ubn.ru.nl/handle/2066/220344,Optimized tumour infiltrating lymphocyte assessment for triple negative breast cancer prognostics.,https://doi.org/10.1016/j.breast.2021.02.007,Tissue-based biomarker assessment for predicting prognosis of triple negative breast cancer: the additional value of artificial intelligence,,0.4789915966386555,False,Optimized tumour infiltrating lymphocyte assessment for triple negative breast cancer prognostics. Balkenhol Ciompi Świderska-Chadaj Loo Intezar Otte-Höller Geijs Lotz Weiss Bel Litjens Bult Laak
bare99,https://repository.ubn.ru.nl/handle/2066/150169,Fast dynamic gadolinium-enhanced MR imaging of urinary bladder and prostate cancer,https://doi.org/10.1002/(SICI)1522-2586(199909)10:3&lt;295::AID-JMRI10&gt;3.0.CO;2-Z,1H and 31P MR Spectroscopic Imaging of the prostate at 7 Tesla,,0.4444444444444444,False,Fast dynamic gadolinium-enhanced MR imaging of urinary bladder and prostate cancer Barentsz Engelbrecht Jager Witjes LaRosette Der  Sanden Huisman Heerschap
bejn14,https://repository.ubn.ru.nl/handle/2066/132653,Quantitative analysis of stain variability in histology slides and an algorithm for standardization,https://doi.org/10.1117/12.2043683,Quantitative analysis of stain variability in histology slides and an algorithm for standardization,https://doi.org/10.1117/12.2043683,1.0,True,Quantitative analysis of stain variability in histology slides and an algorithm for standardization Ehteshami Bejnordi Timofeeva Otte-Höller Karssemeijer van der Laak
bejn15,https://repository.ubn.ru.nl/handle/2066/141326,A multi-scale superpixel classification approach to the detection of regions of interest in whole slide histopathology images,https://doi.org/10.1117/12.2081768,A multi-scale superpixel classification approach to the detection of regions of interest in whole slide histopathology images,https://doi.org/10.1117/12.2081768,1.0,True,A multi-scale superpixel classification approach to the detection of regions of interest in whole slide histopathology images Bejnordi Litjens Hermsen Karssemeijer Laak
bejn17b,https://repository.ubn.ru.nl/handle/2066/181885,Context-aware stacked convolutional neural networks for classification of breast carcinomas in whole-slide histopathology images,https://doi.org/10.1117/1.JMI.4.4.044504,Context-aware stacked convolutional neural networks for classification of breast carcinomas in whole-slide histopathology images,https://doi.org/10.1117/1.JMI.4.4.044504,1.0,True,Context-aware stacked convolutional neural networks for classification of breast carcinomas in whole-slide histopathology images Bejnordi Zuidhof Balkenhol Hermsen Bult Ginneken Karssemeijer Litjens Laak
bel21,https://repository.ubn.ru.nl/handle/2066/233603,Residual cyclegan for robust domain transformation of histopathological tissue slides.,https://doi.org/10.1016/j.media.2021.102004,Residual cyclegan for robust domain transformation of histopathological tissue slides,https://doi.org/10.1016/j.media.2021.102004,0.9941520467836257,True,Residual cyclegan for robust domain transformation of histopathological tissue slides. Bel Bokhorst Laak Litjens
bian18,https://repository.ubn.ru.nl/handle/2066/194505,Small airway segmentation in thoracic computed tomography scans: a machine learning approach,https://doi.org/10.1088/1361-6560/aad2a1,Small airway segmentation in thoracic computed tomography scans: a machine learning approach,https://doi.org/10.1088/1361-6560/aad2a1,1.0,True,Small airway segmentation in thoracic computed tomography scans a machine learning approach Bian Charbonnier Liu Zhao Lynch Ginneken
boer20,https://repository.ubn.ru.nl/handle/2066/217643,Interactive 3D U-net for the Segmentation of the Pancreas in Computed Tomography Scans,https://doi.org/10.1088/1361-6560/ab6f99,Interactive 3D U-net for the segmentation of the pancreas in computed tomography scans,https://doi.org/10.1088/1361-6560/ab6f99,1.0,True,Interactive 3D U-net for the Segmentation of the Pancreas in Computed Tomography Scans Boers Hu Gibson Barratt Bonmati Krdzalic Heijden Hermans Huisman
boo09,https://repository.ubn.ru.nl/handle/2066/81498,Computer-aided detection (CAD) of lung nodules and small tumours on chest radiographs,https://doi.org/10.1016/j.ejrad.2009.05.062,Computer-aided detection (CAD) of lung nodules and small tumours on chest radiographs.,https://doi.org/10.1016/j.ejrad.2009.05.062,0.9941520467836257,True,Computer-aided detection (CAD) of lung nodules and small tumours on chest radiographs Boo Prokop Uffmann Ginneken Schaefer-Prokop
boom14,https://repository.ubn.ru.nl/handle/2066/136581,A 4D Digital Phantom for Patient-Specific Simulation of Brain CT Perfusion Protocols,https://doi.org/10.1118/1.4881520,A 4D Digital Phantom for Patient-Specific Simulation of Brain CT Perfusion Protocols,https://doi.org/10.1118/1.4881520,1.0,True,A 4D Digital Phantom for Patient-Specific Simulation of Brain CT Perfusion Protocols Boom Manniesing Oei Woude Smit Laue Ginneken Prokop
boss01,https://repository.ubn.ru.nl/handle/2066/122189,Post-radiotherapy contrast enhancement changes in fast dynamic MRI of cervical carcinoma,https://doi.org/10.1002/jmri.1084,Post-radiotherapy contrast enhancement changes in fast dynamic MRI of cervical carcinoma.,https://doi.org/10.1002/jmri.1084,0.9943502824858758,True,Post-radiotherapy contrast enhancement changes in fast dynamic MRI of cervical carcinoma Boss Massuger Pop Verhoef Huisman Boonstra Barentsz
boue18,,Lobar Emphysema Distribution Is Associated With 5-Year Radiological Disease Progression,https://doi.org/10.1016/j.chest.2017.09.022,,,,False,Lobar Emphysema Distribution Is Associated With 5-Year Radiological Disease Progression Boueiz Chang Cho Washko Jose San  Estepar Bowler Crapo DeMeo Dy Silverman Castaldi COPDGene Investigators
bult19,https://repository.ubn.ru.nl/handle/2066/218800,Epithelium segmentation using deep learning in H&E-stained prostate specimens with immunohistochemistry as reference standard,https://doi.org/10.1038/s41598-018-37257-4,Assessment of individual tumor buds using keratin immunohistochemistry: moderate interobserver agreement suggests a role for machine learning,https://doi.org/10.1038/s41379-019-0434-2,0.39097744360902253,False,Epithelium segmentation using deep learning in H&E-stained prostate specimens with immunohistochemistry as reference standard Bulten Bándi Hoven van de Loo Lotz Weiss van der Laak van Ginneken Hulsbergen-van de Kaa Litjens
bult20,https://repository.ubn.ru.nl/handle/2066/217309,Automated deep-learning system for Gleason grading of prostate cancer using biopsies: a diagnostic study,https://doi.org/10.1016/S1470-2045(19)30739-9,Automated deep-learning system for Gleason grading of prostate cancer using biopsies: a diagnostic study,https://doi.org/10.1016/S1470-2045(19)30739-9,1.0,True,Automated deep-learning system for Gleason grading of prostate cancer using biopsies a diagnostic study Bulten Pinckaers Boven Vink Bel Ginneken Laak Hulsbergen-van  Kaa Litjens
char18,https://repository.ubn.ru.nl/handle/2066/183711,Automatic segmentation of the solid core and enclosed vessels in subsolid pulmonary nodules,https://doi.org/10.1038/s41598-017-19101-3,Automatic segmentation of the solid core and enclosed vessels in subsolid pulmonary nodules,https://doi.org/10.1038/s41598-017-19101-3,1.0,True,Automatic segmentation of the solid core and enclosed vessels in subsolid pulmonary nodules Charbonnier Chung Scholten Rikxoort Jacobs Sverzellati Silva Pastorino Ginneken Ciompi
char19,https://repository.ubn.ru.nl/handle/2066/201027,Airway wall thickening on CT: Relation to smoking status and severity of COPD,https://doi.org/10.1016/j.rmed.2018.11.014,Airway wall thickening on CT: Relation to smoking status and severity of COPD,https://doi.org/10.1016/j.rmed.2018.11.014,1.0,True,Airway wall thickening on CT Relation to smoking status and severity of COPD Charbonnier Pompe Moore Humphries Ginneken Make Regan Crapo Rikxoort Lynch
chun17,,Lung-RADS Category 4X: Does It Improve Prediction of Malignancy in Subsolid Nodules?,https://doi.org/10.1148/radiol.2017161624,,,,False,Lung-RADS Category 4X Does It Improve Prediction of Malignancy in Subsolid Nodules? Chung Jacobs Scholten Goo Prosch Sverzellati Ciompi Mets Gerke Prokop Ginneken Schaefer-Prokop
chun17a,https://repository.ubn.ru.nl/handle/2066/181940,Malignancy estimation of Lung-RADS criteria for subsolid nodules on CT: accuracy of low and high risk spectrum when using NLST nodules,https://doi.org/10.1007/s00330-017-4842-8,Malignancy estimation of Lung-RADS criteria for subsolid nodules on CT: accuracy of low and high risk spectrum when using NLST nodules,https://doi.org/10.1007/s00330-017-4842-8,1.0,True,Malignancy estimation of Lung-RADS criteria for subsolid nodules on CT accuracy of low and high risk spectrum when using NLST nodules Chung Jacobs Scholten Mets Dekker Prokop Ginneken Schaefer-Prokop
chun18,https://repository.ubn.ru.nl/handle/2066/189883,Visual Discrimination of Screen-detected Persistent from Transient Subsolid Nodules: an Observer Study,https://doi.org/10.1371/journal.pone.0191874,Visual discrimination of screen-detected persistent from transient subsolid nodules: An observer study,https://doi.org/10.1371/journal.pone.0191874,1.0,True,Visual Discrimination of Screen-detected Persistent from Transient Subsolid Nodules an Observer Study Chung Ciompi Scholten Prokop Jacobs Ginneken Schaefer-Prokop
chun18b,https://repository.ubn.ru.nl/handle/2066/191598,Brock malignancy risk calculator for pulmonary nodules: validation outside a lung cancer screening population,https://doi.org/10.1136/thoraxjnl-2017-211372,Malignancy risk estimation of subsolid nodules,,0.36129032258064514,False,Brock malignancy risk calculator for pulmonary nodules validation outside a lung cancer screening population Chung Mets Gerke Jacobs Harder Scholten Prokop Jong Ginneken Schaefer-Prokop
ciom14,https://repository.ubn.ru.nl/handle/2066/139326,ECOC-DRF: Discriminative Random Fields based on Error-Correcting Output Codes,https://doi.org/10.1016/j.patcog.2013.12.007,ECOC-DRF: Discriminative random fields based on error correcting output codes,https://doi.org/10.1016/j.patcog.2013.12.007,0.987012987012987,True,ECOC-DRF Discriminative Random Fields based on Error-Correcting Output Codes Ciompi Pujol Radeva
ciom15a,https://repository.ubn.ru.nl/handle/2066/154608,Automatic classification of pulmonary peri-fissural nodules in computed tomography using an ensemble of 2D views and a convolutional neural network out-of-the-box,https://doi.org/10.1016/j.media.2015.08.001,Automatic classification of pulmonary peri-fissural nodules in computed tomography using an ensemble of 2D views and a convolutional neural network out-of-the-box,https://doi.org/10.1016/j.media.2015.08.001,1.0,True,Automatic classification of pulmonary peri-fissural nodules in computed tomography using an ensemble of 2D views and a convolutional neural network out-of-the-box Ciompi Hoop Riel Chung Scholten Oudkerk Jong Prokop Ginneken
ciom17a,https://repository.ubn.ru.nl/handle/2066/174848,Towards automatic pulmonary nodule management in lung cancer screening with deep learning,https://doi.org/10.1038/srep46479,Towards automatic pulmonary nodule management in lung cancer screening with deep learning,https://doi.org/10.1038/srep46479,1.0,True,Towards automatic pulmonary nodule management in lung cancer screening with deep learning Ciompi Chung Riel Setio Gerke Jacobs Scholten Schaefer-Prokop Wille Marchiano Pastorino Prokop Ginneken
cohe16,https://repository.ubn.ru.nl/handle/2066/165779,Software performance in segmenting ground-glass and solid components of subsolid nodules in pulmonary adenocarcinomas,https://doi.org/10.1007/s00330-016-4317-3,Software performance in segmenting ground-glass and solid components of subsolid nodules in pulmonary adenocarcinomas,https://doi.org/10.1007/s00330-016-4317-3,1.0,True,Software performance in segmenting ground-glass and solid components of subsolid nodules in pulmonary adenocarcinomas Cohen Goo Yoo Park Lee van Ginneken Chung Kim
cohe16a,https://repository.ubn.ru.nl/handle/2066/171720,The effect of late-phase contrast enhancement on semi-automatic software measurements of CT attenuation and volume of part-solid nodules in lung adenocarcinomas,https://doi.org/10.1016/j.ejrad.2016.03.027,The effect of late-phase contrast enhancement on semi-automatic software measurements of CT attenuation and volume of part-solid nodules in lung adenocarcinomas,https://doi.org/10.1016/j.ejrad.2016.03.027,1.0,True,The effect of late-phase contrast enhancement on semi-automatic software measurements of CT attenuation and volume of part-solid nodules in lung adenocarcinomas Cohen Goo Yoo Park van Ginneken Ferretti Lee Park
cohe17,https://repository.ubn.ru.nl/handle/2066/178219,Comparison of the effects of model-based iterative reconstruction and filtered back projection algorithms on software measurements in pulmonary subsolid nodules,https://doi.org/10.1007/s00330-016-4716-5,Comparison of the effects of model-based iterative reconstruction and filtered back projection algorithms on software measurements in pulmonary subsolid nodules,https://doi.org/10.1007/s00330-016-4716-5,1.0,True,Comparison of the effects of model-based iterative reconstruction and filtered back projection algorithms on software measurements in pulmonary subsolid nodules Cohen Kim Park Ginneken Ferretti Lee Goo Park
dale04,https://repository.ubn.ru.nl/handle/2066/57635,Accuracy of rigid CT-FDG-PET image registration of the liver,https://doi.org/10.1088/0031-9155/49/23/014,Accuracy of rigid CT-FDG-PET image registration of the liver.,https://doi.org/10.1088/031-9155/49/23/014,0.9917355371900827,False,Accuracy of rigid CT-FDG-PET image registration of the liver Dalen Vogel Huisman Oyen Jager Karssemeijer
dalm17,https://repository.ubn.ru.nl/handle/2066/173062,Using deep learning to segment breast and fibroglandular tissue in MRI volumes,https://doi.org/10.1002/mp.12079,Using deep learning to segment breast and fibroglandular tissue in MRI volumes,https://doi.org/10.1002/mp.12079,1.0,True,Using deep learning to segment breast and fibroglandular tissue in MRI volumes Dalmis Litjens Holland Setio Mann Karssemeijer Gubern-Mérida
deba11,https://repository.ubn.ru.nl/handle/2066/96662,Automated 3-Dimensional Segmentation of Pelvic Lymph Nodes in Magnetic Resonance Images,https://doi.org/10.1118/1.3654162,Automated 3-dimensional segmentation of pelvic lymph nodes in magnetic resonance images,https://doi.org/10.1118/1.3654162,1.0,True,Automated 3-Dimensional Segmentation of Pelvic Lymph Nodes in Magnetic Resonance Images Debats Litjens Barentsz Karssemeijer Huisman
deba16,https://repository.ubn.ru.nl/handle/2066/171995,Automated multistructure atlas-assisted detection of lymph nodes using pelvic MR lymphography in prostate cancer patients,https://doi.org/10.1118/1.4951726,Automated multistructure atlas-assisted detection of lymph nodes using pelvic MR lymphography in prostate cancer patients,https://doi.org/10.1118/1.4951726,1.0,True,Automated multistructure atlas-assisted detection of lymph nodes using pelvic MR lymphography in prostate cancer patients Debats Meijs Litjens Huisman
deba16a,https://repository.ubn.ru.nl/handle/2066/165687,Intranodal signal suppression in pelvic MR lymphography of prostate cancer patients: a quantitative comparison of ferumoxtran-10 and ferumoxytol,https://doi.org/10.7717/peerj.2471,Intranodal signal suppression in pelvic MR lymphography of prostate cancer patients: a quantitative comparison of ferumoxtran-10 and ferumoxytol,https://doi.org/10.7717/peerj.2471,1.0,True,Intranodal signal suppression in pelvic MR lymphography of prostate cancer patients a quantitative comparison of ferumoxtran-10 and ferumoxytol Debats Fortuin Meijer Hambrock Litjens Barentsz Huisman
deba19,https://repository.ubn.ru.nl/handle/2066/215826,Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks,https://doi.org/10.7717/peerj.8052,Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks,https://doi.org/10.7717/peerj.8052,1.0,True,Lymph node detection in MR Lymphography false positive reduction using multi-view convolutional neural networks Debats Litjens Huisman
dekk21,,High Levels of Osteoprotegerin Are Associated with Coronary Artery Calcification in Patients Suspected of a Chronic Coronary Syndrome,https://doi.org/10.1038/s41598-021-98177-4,,,,False,High Levels of Osteoprotegerin Are Associated with Coronary Artery Calcification in Patients Suspected of a Chronic Coronary Syndrome Dekker Waissi Silvis Bennekom Schoneveld de Winter Isgum Lessmann Velthuis Pasterkamp Mosterd Timmers de Kleijn
deva17,https://repository.ubn.ru.nl/handle/2066/181824,Use of Volumetry for Lung Nodule Management: Theory and Practice,https://doi.org/10.1148/radiol.2017151022,Use of Volumetry for Lung Nodule Management: Theory and Practice,https://doi.org/10.1148/radiol.2017151022,1.0,True,Use of Volumetry for Lung Nodule Management Theory and Practice Devaraj Ginneken Nair Baldwin
dijk15,https://repository.ubn.ru.nl/handle/2066/153524,Novel Genes for Airway Wall Thickness Identified with Combined Genome Wide Association and Expression Analyses,https://doi.org/10.1164/rccm.201405-0840OC,Novel Genes for Airway Wall Thickness Identified with Combined Genome Wide Association and Expression Analyses,https://doi.org/10.1164/rccm.201405-0840OC,1.0,True,Novel Genes for Airway Wall Thickness Identified with Combined Genome Wide Association and Expression Analyses Dijkstra Postma Ginneken Wielpütz Schmidt Becker Owsijewitsch Kauczor Koning Lammers Oudkerk Brandsma Bossé Nickle Sin Hiemstra Wijmenga Smolonska Zanen Vonk Berge Boezen Groen
enge03a,https://repository.ubn.ru.nl/handle/2066/122329,Discrimination of prostate cancer from normal peripheral zone and central gland tissue by using dynamic contrast-enhanced MR imaging,https://doi.org/10.1148/radiol.2291020200,Discrimination of prostate cancer from normal peripheral zone and central gland tissue by using dynamic contrast-enhanced MR imaging.,https://doi.org/10.1148/radiol.2291020200,0.9962264150943396,True,Discrimination of prostate cancer from normal peripheral zone and central gland tissue by using dynamic contrast-enhanced MR imaging Engelbrecht Huisman Laheij Jager Leenders Hulsbergen-van  Kaa Rosette Blickman Barentsz
enge06a,https://repository.ubn.ru.nl/handle/2066/51174,Volumetric breast density estimation from full-field digital mammograms,https://doi.org/10.1109/TMI.2005.862741,Volumetric breast density estimation from full-field digital mammograms.,https://doi.org/10.1109/TMI.2005.862741,0.993006993006993,True,Volumetric breast density estimation from full-field digital mammograms Engeland Snoeren Huisman Boetes Karssemeijer
fens13,https://repository.ubn.ru.nl/handle/2066/140583,"Subphenotypes of Mild-to-Moderate COPD by Factor and Cluster Analysis of Pulmonary Function, CT Imaging and Breathomics in a Population-Based Survey",https://doi.org/10.3109/15412555.2012.744388,"Subphenotypes of Mild-to-Moderate COPD by Factor and Cluster Analysis of Pulmonary Function, CT Imaging and Breathomics in a Population-Based Survey",https://doi.org/10.3109/15412555.2012.744388,1.0,True,"Subphenotypes of Mild-to-Moderate COPD by Factor and Cluster Analysis of Pulmonary Function, CT Imaging and Breathomics in a Population-Based Survey Fens Rossum Zanen Ginneken Klaveren Zwinderman Sterk"
gal21,https://repository.ubn.ru.nl/handle/2066/235298,Identification of Risk of Cardiovascular Disease by Automatic Quantification of Coronary Artery Calcifications on Radiotherapy Planning CT Scans in Patients With Breast Cancer,https://doi.org/10.1001/jamaoncol.2021.1144,Identification of Risk of Cardiovascular Disease by Automatic Quantification of Coronary Artery Calcifications on Radiotherapy Planning CT Scans in Patients With Breast Cancer,https://doi.org/10.1001/jamaoncol.2021.1144,1.0,True,Identification of Risk of Cardiovascular Disease by Automatic Quantification of Coronary Artery Calcifications on Radiotherapy Planning CT Scans in Patients With Breast Cancer Gal Velzen Hooning Emaus Leij Gregorowitsch Blezer Gernaat Lessmann Sattler Leiner Jong Teske Verloop Penninkhof Vaartjes Meijer Tol-Geerdink Pignol Bongard Išgum Verkooijen
gatt14,https://repository.ubn.ru.nl/handle/2066/136855,Stacked sequential scale-space Taylor context,https://doi.org/10.1109/TPAMI.2013.2297706,Stacked Sequential Scale-Space Taylor Context,https://doi.org/10.1109/TPAMI.2013.2297706,1.0,True,Stacked sequential scale-space Taylor context Gatta Ciompi
gees19,https://repository.ubn.ru.nl/handle/2066/204300,Computer aided quantification of intratumoral stroma yields an independent prognosticator in rectal cancer,https://doi.org/10.1007/s13402-019-00429-z,Computer aided quantification of intratumoral stroma yields an independent prognosticator in rectal cancer,https://doi.org/10.1007/s13402-019-00429-z,1.0,True,Computer aided quantification of intratumoral stroma yields an independent prognosticator in rectal cancer Geessink Baidoshvili Klaase Ehteshami  Bejnordi Litjens Pelt Mesker Nagtegaal Ciompi Laak
giet10,https://repository.ubn.ru.nl/handle/2066/88840,Distribution of emphysema in heavy smokers: impact on pulmonary function,https://doi.org/10.1016/j.rmed.2009.08.004,Distribution of emphysema in heavy smokers: impact on pulmonary function.,https://doi.org/10.1016/j.rmed.2009.08.004,0.993103448275862,True,Distribution of emphysema in heavy smokers impact on pulmonary function Gietema Zanen Schilham Ginneken Klaveren Prokop Lammers
giet10a,https://repository.ubn.ru.nl/handle/2066/89855,Reply to Hochheggar et al,https://doi.org/10.1016/j.rmed.2010.02.027,"""Reply to Hochheggar et al.""",https://doi.org/10.1016/j.rmed.20https://doi.org/10.02.027,0.9433962264150944,False,Reply to Hochheggar et al Gietema Zanen Schilham Ginneken Klaveren Prokop Lammers
ginn10a,https://repository.ubn.ru.nl/handle/2066/137671,Comparing and combining algorithms for computer-aided detection of pulmonary nodules in computed tomography scans: the ANODE09 study,https://doi.org/10.1016/j.media.2010.05.005,Comparing algorithms for automated vessel segmentation in computed tomography scans of the lung: The VESSEL12 study,https://doi.org/10.1016/j.media.2014.07.003,0.6396761133603239,False,Comparing and combining algorithms for computer-aided detection of pulmonary nodules in computed tomography scans the ANODE09 study Ginneken Armato Hoop Vorst Duindam Niemeijer Murphy Schilham Retico Fantacci Camarlinghi Bagagli Gori Hara Fujita Gargano Belloti Carlo Megna Tangaro Bolanos Cerello Cheran Torres Prokop
ginn11,https://repository.ubn.ru.nl/handle/2066/96751,Computer-aided Diagnosis: how to Move from the Laboratory to the Clinic,https://doi.org/10.1148/radiol.11091710,Computer-aided Diagnosis: How to Move from the Laboratory to the Clinic.,https://doi.org/10.1148/radiol.11091710,0.993006993006993,True,Computer-aided Diagnosis how to Move from the Laboratory to the Clinic Ginneken Schaefer-Prokop Prokop
gree16,https://repository.ubn.ru.nl/handle/2066/172640,Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique,https://doi.org/10.1109/TMI.2016.2553401,Guest Editorial: Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique,https://doi.org/10.1109/TMI.2016.2553401,0.9137055837563451,True,Deep Learning in Medical Imaging Overview and Future Promise of an Exciting New Technique Greenspan Summers Ginneken
grin13,https://repository.ubn.ru.nl/handle/2066/118034,Automatic Drusen Quantification and Risk Assessment of Age-related Macular Degeneration on Color Fundus Images,https://doi.org/10.1167/iovs.12-11449,Automatic Drusen Quantification and Risk Assessment of Age-related Macular Degeneration on Color Fundus Images,https://doi.org/10.1167/iovs.12-11449,1.0,True,Automatic Drusen Quantification and Risk Assessment of Age-related Macular Degeneration on Color Fundus Images Grinsven Lechanteur Ven Ginneken Hoyng Theelen Sánchez
grin15,https://repository.ubn.ru.nl/handle/2066/154610,Automatic identification of reticular pseudodrusen using multimodal retinal image analysis,https://doi.org/10.1167/iovs.14-15019,Automatic identification of reticular pseudodrusen using multimodal retinal image analysis,https://doi.org/10.1167/iovs.14-15019,1.0,True,Automatic identification of reticular pseudodrusen using multimodal retinal image analysis Grinsven Buitendijk Brussee Ginneken Hoyng Theelen Klaver Sánchez
grin16b,https://repository.ubn.ru.nl/handle/2066/167797,Fast Convolutional Neural Network Training Using Selective Data Sampling: Application to Hemorrhage Detection in Color Fundus Images,https://doi.org/10.1109/TMI.2016.2526689,Fast Convolutional Neural Network Training Using Selective Data Sampling: Application to Hemorrhage Detection in Color Fundus Images,https://doi.org/10.1109/TMI.2016.2526689,1.0,True,Fast Convolutional Neural Network Training Using Selective Data Sampling Application to Hemorrhage Detection in Color Fundus Images Grinsven Ginneken Hoyng Theelen Sánchez.
